id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,pgm,variance,seed,scan_num,write_ratio_begin,write_ratio_end,latency_variance,latency_sample,workload_shift,data_shift,hyper_thread,mse,error_bound,table_size
2.02205E+13,1,0,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/libraries_io_repository_dependencies_200M_uint64,lipp,7857012,200000000,0,1,6,9,112,387,1331,2069,1.04E+06,46.398,0,20,1866,100,2.122e-314,4.94066e-324,469603,1,0,0,0,0,64,200000000
2.02205E+13,1,0,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/covid_tweets_200M_uint64,lipp,4547990,200000000,0,1,6,104,365,1154,1899,2969,5.21E+06,131.266,0,20,1866,100,2.122e-314,4.94066e-324,5.52E+06,1,0,0,0,0,64,200000000
2.02205E+13,1,0,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/biology_200M_uint64,lipp,3242674,200000000,0,1,6,12,498,1407,2250,3796,3.60E+06,190.363,0,20,1866,100,2.122e-314,4.94066e-324,4.45E+06,1,0,0,0,0,64,200000000
2.02205E+13,1,0,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/osm_cellids_200M_uint64,lipp,2854665,200000000,0,1,8,20,831,1530,2847,4686,4.71E+06,293.076,0,20,1866,100,2.122e-314,4.94066e-324,5.27E+06,1,0,0,0,0,64,200000000
2.02205E+13,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/libraries_io_repository_dependencies_200M_uint64,lipp,4675215,100000000,0,1,11,126,404,1650,2660,4294,15995,201.455,0,20,1866,100,2.122e-314,4.94066e-324,88275.8,1,0,0,0,0,64,200000000
2.02205E+13,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/covid_tweets_200M_uint64,lipp,3463790,100000000,0,1,11,181,653,1825,2947,4069,16528,292.929,0,20,1866,100,2.122e-314,4.94066e-324,134157,1,0,0,0,0,64,200000000
2.02205E+13,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/osm_cellids_200M_uint64,lipp,1664797,100000000,0,1,11,446,1087,2287,18511,78894,1.53E+06,612.136,0,20,1866,100,2.122e-314,4.94066e-324,5.69E+06,1,0,0,0,0,64,200000000
2.02205E+13,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/biology_200M_uint64,lipp,1541792,100000000,0,1,11,496,1173,2447,13053,19660,30091,624.691,0,20,1866,100,2.122e-314,4.94066e-324,653064,1,0,0,0,0,64,200000000
2.02205E+13,1,0,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/libraries_io_repository_dependencies_200M_uint64,artunsync,4241436,200000000,0,1,18,20,21,322,1724,2665,1.41E+06,36.3188,0,20,1866,100,2.122e-314,4.94066e-324,586297,1,0,0,0,0,64,200000000
2.02205E+13,1,0,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/covid_tweets_200M_uint64,artunsync,2661012,200000000,0,1,23,28,357,948,1876,3437,4.31E+06,111.327,0,20,1866,100,2.122e-314,4.94066e-324,5.29E+06,1,0,0,0,0,64,200000000
2.02205E+13,1,0,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/osm_cellids_200M_uint64,artunsync,2425438,200000000,0,1,20,446,663,1151,2322,3652,1.64E+06,466.518,0,20,1866,100,2.122e-314,4.94066e-324,1.68E+06,1,0,0,0,0,64,200000000
2.02205E+13,1,0,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/biology_200M_uint64,artunsync,2209551,200000000,0,1,20,561,780,1335,2466,3858,4.21E+06,588.922,0,20,1866,100,2.122e-314,4.94066e-324,6.15E+06,1,0,0,0,0,64,200000000
2.02205E+13,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/libraries_io_repository_dependencies_200M_uint64,artunsync,3583241,100000000,0,1,30,33,246,533,2916,6053,24292,84.0018,0,20,1866,100,2.122e-314,4.94066e-324,43136.8,1,0,0,0,0,64,200000000
2.02205E+13,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/covid_tweets_200M_uint64,artunsync,2614614,100000000,0,1,30,309,506,821,3608,15717,21107,353.544,0,20,1866,100,2.122e-314,4.94066e-324,193735,1,0,0,0,0,64,200000000
2.02205E+13,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/osm_cellids_200M_uint64,artunsync,2413083,100000000,0,1,22,375,590,1117,3010,4720,10171,416.035,0,20,1866,100,2.122e-314,4.94066e-324,55595.8,1,0,0,0,0,64,200000000
2.02205E+13,0,1,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/biology_200M_uint64,artunsync,1887872,100000000,0,1,30,484,713,1395,2890,4488,16405,514.748,0,20,1866,100,2.122e-314,4.94066e-324,63260.7,1,0,0,0,0,64,200000000
2.02205E+13,1,0,0,0,0,/research/dept7/ericlo_hpc/poh/gre_dev/resources/covid_tweets_200M_uint64,alex,6769300,200000000,0,1,11,175,265,552,1413,1810,5.16E+06,172.614,0,20,1866,100,2.122e-314,4.94066e-324,3.66E+06,1,0,0,0,0,64,200000000
